Protein,211,116,161,615,154,544,444,445,451,513,133,331,313,136,366,666,664,641,411,111,113,336,663,633,334,346,465,653,531,311,156,561,613,636,364,643,436,315,151,511,131,361,611,115,363,333,341,415,515,155,556,563,665,165,651,514,143,216,516,112,123,231,646,466,365,656,616,163,431,314,146,461,614,141,416,635,355,553,536,145,164,652,523,316,162,624,246,463,634,135,351,121,114,245,623,153,631,414,433,332,325,255,566,661,134,166,343,435,353,644,442,421,551,356,413,233,263,344,446,142,423,236,144,454,564,462,234,235,455,555,352,521,655,345,456,453,533,565,312,124,243,335,354,546,654,543,441,412,126,266,545,464,534,524,241,525,256,321,213,625,253,362,251,132,326,323,526,535,621,434,152,645,541,554,443,562,215,261,542,232,322,222,226,612,632,512,532,626,254,221,662,552,265,642,214,422,342,425,244,426,324,424,452,264,125,522,223,122,242,212,432,262,225,622,252,224
P38804,1,3,2,2,1,1,1,1,1,3,3,2,2,4,5,2,1,2,2,7,4,2,3,3,2,1,1,2,2,3,1,1,1,2,2,1,1,2,6,2,3,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q08811,1,5,6,0,0,0,0,0,1,0,0,0,0,1,1,2,2,1,0,3,1,0,1,0,0,0,1,2,1,3,0,1,2,3,2,1,0,0,3,4,1,1,3,2,1,0,1,1,0,0,0,0,0,3,1,0,0,1,2,2,1,2,4,2,1,1,3,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q12305,1,2,1,3,0,0,0,0,2,2,0,0,3,2,2,2,1,1,1,4,4,0,1,0,1,1,0,1,2,4,0,2,1,3,0,0,0,1,4,2,6,3,2,3,1,0,1,0,1,2,1,1,1,0,0,1,2,0,1,1,1,1,0,0,1,1,1,3,1,3,0,1,1,3,2,0,0,1,3,1,1,0,0,1,1,0,0,0,1,2,0,0,0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P47036,0,3,2,2,0,1,3,1,0,1,2,2,9,4,0,0,0,3,3,3,4,1,1,1,0,0,1,1,1,5,0,0,1,2,2,0,1,2,4,1,8,0,0,0,6,1,2,0,0,0,0,0,1,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,0,1,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,6,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P53956,2,6,6,2,1,0,0,1,0,1,2,1,1,0,2,6,1,0,2,8,3,2,1,1,0,0,1,2,2,3,0,2,1,0,0,0,1,1,2,1,0,0,7,2,1,1,0,0,0,2,3,2,2,1,0,0,0,0,2,0,0,0,0,0,1,1,4,2,1,0,2,1,1,2,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0,0,0,4,0,0,0,0,0,2,6,3,5,0,0,1,1,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,3,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P36095,0,3,2,0,0,0,0,0,0,2,6,4,1,3,1,0,0,2,2,1,2,5,2,9,1,1,1,2,2,1,0,1,6,2,1,1,1,2,1,2,2,5,2,2,7,7,1,1,0,1,1,2,3,4,3,0,0,0,5,0,1,2,0,0,2,2,1,3,0,0,0,0,0,0,0,4,1,2,6,0,1,2,1,6,1,0,0,0,0,1,2,0,0,0,0,3,2,0,0,3,1,0,1,1,0,4,1,1,2,0,0,0,2,3,1,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,3,0,0,1,2,2,2,0,0,4,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P53552,4,27,24,20,7,5,1,2,5,15,25,28,18,20,25,16,9,11,13,40,26,23,16,27,10,11,4,18,16,25,22,21,20,13,8,13,6,10,13,10,20,12,33,18,19,31,12,9,10,8,9,9,17,14,13,4,11,4,15,2,1,1,5,3,11,8,18,18,8,8,8,12,7,11,5,12,6,5,13,5,10,0,1,25,3,0,2,11,5,14,16,2,12,0,0,16,15,7,11,4,2,1,14,27,13,25,7,9,13,2,0,3,8,9,11,2,1,1,3,0,1,2,4,2,5,0,1,0,4,3,1,1,11,6,5,4,12,5,2,1,0,12,8,5,2,6,5,0,2,3,4,4,6,1,0,1,2,4,5,2,2,2,0,3,2,4,1,7,3,5,3,3,6,7,2,1,2,3,1,1,2,1,1,1,2,1,4,2,1,2,1,1,1,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P53067,1,16,15,10,1,1,0,1,3,4,20,13,24,22,28,13,8,4,7,9,17,23,22,17,8,7,3,10,7,12,8,1,18,14,4,6,3,9,5,3,18,19,23,3,17,15,7,4,2,4,4,2,10,4,7,1,7,4,7,3,5,2,5,3,6,5,17,16,10,5,6,9,5,3,3,7,4,1,8,2,4,0,0,16,3,1,1,7,8,6,2,2,7,0,4,11,17,2,4,3,0,1,18,29,2,21,4,1,4,1,1,0,3,6,4,2,2,1,1,1,1,7,1,1,1,0,1,1,0,2,0,1,2,4,4,2,6,3,1,1,0,2,2,3,2,0,3,0,1,3,1,1,5,0,0,0,1,2,2,2,0,3,0,1,3,2,1,1,3,0,0,3,3,2,1,3,1,2,0,0,0,0,0,2,3,3,1,2,0,0,3,1,0,0,0,0,1,0,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P52871,1,2,2,1,1,0,0,0,0,0,1,1,2,0,0,2,1,2,1,10,1,0,1,0,0,0,0,1,4,2,1,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,3,2,0,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
